global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,PLAN_DATE_START,PLAN_DATE_END,FACT_DATE_START,FACT_DATE_END,AdmArea,District,Address,UNOM
347443,2022,ремонт крыши,,,11.05.2022,31.08.2022,20.05.2022,08.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
431200,2022,ремонт мусоропровода,,,21.02.2022,20.06.2022,11.04.2022,28.07.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
431198,2022,ремонт внутридомовых инженерных систем электроснабжения,,,21.02.2022,20.06.2022,21.03.2022,08.12.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
431199,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
347455,2022,ремонт крыши,,,11.05.2022,31.08.2022,02.05.2022,02.09.2022,Восточный административный округ,район Преображенское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, улица Девятая Рота, дом 2, корпус 1",5945
347505,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.05.2022,20.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
347506,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.05.2022,20.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
347508,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,23.05.2022,05.12.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
347507,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,02.06.2022,14.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
394938,2022,ремонт внутреннего водостока,,,21.11.2022,31.12.2022,10.10.2022,25.11.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Большой Купавенский проезд, дом 4",12175
394251,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,01.05.2022,31.08.2022,23.05.2022,19.09.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Просторная улица, дом 15, корпус 2",20914
350927,2022,замена лифтового оборудования,1.0,1,23.06.2022,11.08.2022,23.06.2022,31.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 8, корпус 1",21908
348040,2022,замена лифтового оборудования,1.0,1,23.06.2022,11.08.2022,23.06.2022,31.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 8, корпус 3",21910
355250,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.06.2022,31.10.2022,08.08.2022,27.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
430556,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.06.2022,10.10.2022,20.07.2022,04.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
430557,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.06.2022,10.10.2022,20.07.2022,04.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
350908,2022,замена лифтового оборудования,3.0,3,18.07.2022,31.08.2022,18.02.2022,22.04.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 8, корпус 1",10012
430564,2022,ремонт внутреннего водостока,,,11.11.2022,31.12.2022,01.09.2022,25.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Косинская улица, дом 18, корпус 2",11118
322857,2022,ремонт фасадов,,,11.04.2022,10.09.2022,18.04.2022,17.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
322856,2022,ремонт крыши,,,11.04.2022,10.09.2022,02.06.2022,17.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
322861,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,20.08.2022,18.04.2022,12.08.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
322862,2022,ремонт внутридомовых инженерных систем теплоснабжения (стояки),,,21.04.2022,20.08.2022,24.05.2022,23.09.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
322863,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки),,,21.04.2022,20.08.2022,21.04.2022,09.09.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
322864,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),,,21.04.2022,20.08.2022,21.04.2022,09.09.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
